AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI Version 5.0.1479.0,

LAUNCHED APPLICATION DETAILS
Target Path:,./argonmd_o2.x,
Command Line Arguments:,,
Working Directory:,/home/mdelapierre/proj/bmkg/amd-profiling,
CPU Core Affinity Mask:,,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-23-2025_12-07-50,

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,12:7:50:283,    2.10,    0.15,    0.34,    0.02,    0.36,    0.03
2,12:7:50:383,    2.16,    0.08,    0.30,    0.19,    0.34,    0.06
3,12:7:50:483,    5.57,    0.07,    0.59,    0.11,    0.30,    0.07
